"Subno"	"Condition"	"Experimenter"	"Gun_type"	"Power"	"Pilot"	"speech_protect"	"gun_protect"	"game_amend"	"gun_amendment"	"media_reg"	"gun_reg"	"ben_risk"	"glad_speech"	"glad_gun"	"AR_1"	"AR_2"	"AR_3"	"AR_4"	"AR_5"	"AR_6"	"AR_7"	"AR_8"	"AR_pay"	"want"	"need"	"us_gun_laws"	"us_rifle"	"guns_det"	"gun_carry"	"school_staff"	"per_1"	"per_2"	"per_3"	"per_4"	"magazine_cap"	"own_gun"	"list_gun_names"	"play_viol_games"	"viol_hours"	"pol_orien"	"Gender"	"Age"	"Race"	"Coll_year"	"GPA"	"p_key_value_1"	"p_key_value_2"	"Notes"	"amend1"	"amend2"	"AR_desire"	"AR_intent"	"AR_price"	"AR_price_blank"	"game_gun_desire"	"policy"	"magazine_cap_bin"
75	3	"Candice"	0	1	NA	7	5	7	7	7	5	7	7	3	2	2	2	6	6	2	1	1	"200.000000"	2	1	5	4	5	3	3	25	45	5	1	30	0	NA	1	2.5	3	0	18	5	1	3	1	228	NA	35	20	18	4	200	0	3	20	"greater"
76	4	"Candice"	1	1	NA	4	5	4	4	4	4	2	6	4	1	3	3	6	6	1	1	1	"blank"	1	1	1	2	2	2	4	20	30	10	30	20	0	NA	0	0	3	0	19	6	1	3.67	8	230	"circled both 5 and 6 for race"	20	17	19	3	NA	1	2	11	"other"
77	4	"Candice"	1	1	NA	6	1	3	1	4	2	1	7	4	1	1	1	7	7	1	1	1	"blank"	1	1	6	7	7	1	4	7.5	5	15	2	5	0	NA	0	0	3	0	20	5	2	4	1	191	NA	21	8	17	3	NA	1	2	25	"other"
78	3	"Jacob"	0	1	NA	5	5	6	6	5	5	4	6	5	6	3	5	6	6	7	3	5	"200.000000"	6	2	1	2	3	5	4	3	1	1	0	NA	1	".22 pistol"	1	5	2	1	NA	5	1	3.5	0	333	"put \"NA\" for magazine size, didn't include age. Game glitched after 12 minutes, participant didn't come find us so he just sat for a period of time"	26	21	26	15	200	0	8	15	NA
79	2	"Jacob"	1	0	NA	5	3	5	5	4	3	4	7	5	3	3	5	3	6	1	1	1	"5.000000"	1	1	4	4	4	5	5	5	5	15	1	6	0	NA	0	0	5	1	18	5	1	3.5	3	122	NA	25	16	20	3	5	0	2	22	"other"
80	2	"Jacob"	1	0	NA	4	4	6	6	4	2	3	5	4	6	4	6	7	7	5	3	3	"500.000000"	4	2	4	4	5	4	4	20	10	30	5	25	0	NA	1	1	3	1	19	5	1	2.4	2	106	NA	22	16	30	11	500	0	6	21	"other"
81	2	"Jacob"	1	0	NA	6	4	5	5	2	3	4	7	4	6	3	4	5	6	6	5	3	"50.000000"	5	3	4	4	5	5	1	10	5	10	5	30	0	NA	1	1	3	1	19	5	1	3.71	2	167	NA	24	16	24	14	50	0	8	19	"greater"
82	4	"Mallorie"	1	1	NA	6	4	5	4	3	1	2	5	3	4	2	3	6	6	6	2	1	"blank"	1	1	6	5	6	2	1	15	1	5	10	11	0	NA	1	3	1	1	19	5	1	3.55	0	394	NA	21	12	21	9	NA	1	2	20	"other"
83	4	"Mallorie"	1	1	NA	6	1	4	4	5	5	5	6	1	1	1	1	1	1	1	1	1	"blank"	1	1	6	5	2	1	1	70	65	10	3	15	0	NA	1	3	1	0	20	2	2	2.5	4	253	"Not excited when she saw the game she would be playing. Had headphones off when I came back into the room."	26	11	5	3	NA	1	2	15	"other"
84	3	"Mallorie"	0	1	NA	7	5	3	3	5	5	3	7	7	7	2	5	6	6	7	4	2	"2000.000000"	2	1	2	2	2	4	5	25	5	10	0	30	1	"2, 12g shotguns, M9 handgun, .22cal rifle"	1	12.5	2	1	19	5	1	3.2	0	458	NA	25	20	26	13	2000	0	3	15	"greater"
85	4	"Candice"	1	1	NA	6	4	6	3	3	1	2	7	2	4	4	3	3	6	1	1	1	"blank"	1	1	5	3	5	4	2	20	40	50	5	10	0	NA	1	2	2	0	19	5	1	3.82	0	171	NA	24	10	20	3	NA	1	2	19	"other"
86	4	"Candice"	1	1	NA	4	1	2	2	1	2	3	7	1	2	1	3	6	7	7	1	1	"100.000000"	4	1	7	7	7	1	1	7	5	1	1	6	0	NA	1	1	2	1	19	5	1	3.1	0	223	NA	17	6	19	9	100	0	5	23	"other"
87	2	"Mallorie"	1	0	NA	6	3	7	6	5	2	4	7	3	5	NA	3	6	6	7	3	2	"2000.000000"	3	1	5	6	7	4	2	20	25	15	1	6	0	NA	1	12	2	1	20	5	2	2.5	0	171	"skipped AR_2 question"	29	14	NA	12	2000	0	4	24	"other"
88	2	"Mallorie"	1	0	NA	7	5	7	7	7	5	7	7	4	7	3	4	6	6	6	4	1	"150.000000"	1	1	2	1	1	3	5	30	15	10	5	30	0	NA	1	3.5	3	1	20	2	2	2.1	2	93	"arrived about ten minutes late"	35	21	26	11	150	0	2	12	"greater"
89	2	"Trina"	1	0	NA	6	5	5	6	6	7	3	6	4	6	5	6	6	6	7	4	5	"300.000000"	3	3	3	3	3	6	6	3	5	1	2	20	1	"20g, 30/30 rifle"	1	2	2	1	18	5	1	3	1	173	"caps lock was on, not sure if it does anything , but it was on"	26	22	29	16	300	0	6	21	"other"
90	2	"Trina"	1	0	NA	6	2	5	3	5	3	4	6	2	5	1	2	6	6	4	1	1	"blank"	1	1	6	6	5	2	1	35	55	5	5	5	0	NA	1	2	3	1	20	5	3	3.3	1	195	NA	26	10	20	6	NA	1	2	20	"other"
91	3	"Trina"	0	1	NA	6	2	3	6	4	3	3	7	3	4	2	2	4	6	3	1	1	"blank"	1	1	2	1	3	4	1	5	10	5	5	20	0	NA	1	10	2	1	19	5	1	4.13	1	355	NA	23	14	18	5	NA	1	2	11	"other"
92	4	"Mallorie"	1	1	NA	7	4	6	6	4	2	2	7	3	2	1	1	6	6	1	1	1	"blank"	1	1	1	7	3	5	5	30	30	10	1	5	1	"deer rifle"	0	0	2	0	19	5	1	3.5	3	233	NA	26	15	16	3	NA	1	2	21	"other"
93	2	"Jacob"	1	0	NA	7	4	6	1	2	2	1	7	4	3	3	1	5	6	7	3	1	"750.000000"	7	2	4	2	6	2	1	20	30	5	25	30	0	NA	1	20	1	1	19	2	1	2	1	161	NA	23	11	18	11	750	0	9	15	"greater"
94	3	"Jacob"	0	1	NA	2	1	5	4	5	2	3	7	3	1	1	1	4	4	7	1	1	"200.000000"	1	1	4	4	3	1	4	50	30	40	0	30	0	NA	0	0	1	0	18	2	1	4.2	0	175	NA	22	10	11	9	200	0	2	16	"greater"
95	2	"Jacob"	1	0	NA	6	6	6	6	7	5	4	7	3	5	3	4	5	5	7	1	1	"60.000000"	1	1	4	1	1	4	2	5	1	3	3	30	0	NA	1	2	1	1	19	5	1	2.8	1	177	"came in right after tornado. \"unlimited\" for magazine size"	30	20	22	9	60	0	2	12	"greater"
96	4	"Trina"	1	1	NA	7	5	3	5	4	2	3	7	6	5	2	3	4	6	6	1	1	"blank"	1	1	6	4	5	4	1	15	10	10	3	10	0	NA	0	0	1	0	18	5	1	2.5	1	216	NA	24	18	20	8	NA	1	2	20	"other"
97	1	"Mallorie"	0	0	NA	4	6	4	4	2	2	4	7	7	1	3	3	5	7	1	1	1	"500.000000"	1	1	4	3	1	2	1	50	15	10	5	15	0	NA	0	0	2	0	18	5	1	3.4	9	109	NA	21	19	19	3	500	0	2	11	"other"
98	4	"Mallorie"	1	1	NA	6	4	4	3	5	5	3	6	4	3	3	3	5	5	1	1	1	"blank"	1	1	5	6	5	3	1	15	20	25	5	8	0	NA	1	5	3	0	19	5	1	3.1	1	217	NA	24	16	19	3	NA	1	2	20	"other"
99	1	"Candice"	0	0	NA	6	5	5	5	4	4	4	6	5	4	5	5	4	5	3	2	1	"10.000000"	3	2	1	1	1	5	3	30	20	25	10	15	0	NA	0	0	3	0	19	5	1	3.2	11	91	NA	25	19	23	6	10	0	5	11	"other"
100	1	"Candice"	0	0	NA	7	2	7	2	7	2	7	7	3	2	1	2	6	6	1	1	1	"0.000000"	1	1	6	7	7	2	1	10	5	5	1	6	0	NA	1	8	3	1	18	5	1	3	0	94	NA	35	9	17	3	0	0	2	23	"other"
101	4	"Candice"	1	1	NA	7	5	6	7	4	6	4	7	7	7	3	4	7	7	7	2	2	"500.000000"	2	2	5	6	4	5	4	1	5	3	1	20	0	NA	1	1	1	1	18	5	1	3.75	0	334	NA	28	25	28	11	500	0	4	24	"other"
102	1	"Jacob"	0	0	NA	7	2	7	5	7	3	7	5	1	5	1	3	3	5	7	1	1	"blank"	1	1	6	4	5	2	2	15	5	1	2	6	0	NA	1	1	1	1	18	5	1	3.7	5	161	NA	33	11	17	9	NA	1	2	19	"other"
103	4	"Jacob"	1	1	NA	3	4	6	6	3	3	4	7	7	6	2	3	4	6	7	1	1	"50.210000"	1	1	4	5	2	5	2	12	24	30	10	4	0	NA	1	9	3	1	19	6	1	3.9	0	435	"6- Indian"	23	20	21	9	50.21	0	2	18	"other"
