"Subno"	"Condition"	"Experimenter"	"Gun_type"	"Power"	"Pilot"	"speech_protect"	"gun_protect"	"game_amend"	"gun_amendment"	"media_reg"	"gun_reg"	"ben_risk"	"glad_speech"	"glad_gun"	"AR_1"	"AR_2"	"AR_3"	"AR_4"	"AR_5"	"AR_6"	"AR_7"	"AR_8"	"AR_pay"	"want"	"need"	"us_gun_laws"	"us_rifle"	"guns_det"	"gun_carry"	"school_staff"	"per_1"	"per_2"	"per_3"	"per_4"	"magazine_cap"	"own_gun"	"list_gun_names"	"play_viol_games"	"viol_hours"	"pol_orien"	"Gender"	"Age"	"Race"	"Coll_year"	"GPA"	"p_key_value_1"	"p_key_value_2"	"Notes"	"amend1"	"amend2"	"AR_desire"	"AR_intent"	"AR_price"	"AR_price_blank"	"game_gun_desire"	"policy"	"magazine_cap_bin"
128	3	"Trina"	0	1	NA	7	7	4	7	6	6	4	7	7	2	5	7	7	7	7	4	2	"300.000000"	1	1	2	3	1	7	4	5	5	5	5	2	0	NA	1	1	2	0	18	5	1	3.16	0	282	"caps lock was on, not sure if it does anything , but it was on"	28	27	28	13	300	0	2	17	"other"
129	1	"Jacob"	0	0	NA	7	2	4	2	4	4	3	7	1	1	1	1	1	7	1	1	1	"blank"	1	1	7	7	6	2	2	60	5	0.5	0.1	6	0	NA	1	10	1	1	NA	5	1	3	3	121	NA	25	9	11	3	NA	1	2	24	"other"
130	3	"Jacob"	0	1	NA	6	6	7	6	5	6	5	7	7	6	5	5	5	5	6	5	1	"200.000000"	3	1	2	1	1	6	4	10	5	8	60	17.5	1	"Benelli 12g shotgun (hunting), Remington 20g shotgun (hunting)"	1	1.5	2	1	20	5	1	3.7	0	460	NA	30	25	26	12	200	0	4	14	"other"
131	4	"Jacob"	1	1	NA	7	5	5	4	7	3	3	7	4	1	1	1	7	7	1	1	1	"0.000000"	1	1	6	7	7	1	1	50	10	5	5	5	0	NA	0	0	1	0	20	5	2	2.5	11	303	NA	29	16	17	3	0	0	2	22	"other"
132	2	"Jacob"	1	0	NA	5	4	2	5	2	2	4	7	6	6	2	2	5	4	7	2	1	"400.000000"	2	1	5	7	7	3	5	75	15	5	10	10	0	NA	1	1	4	1	19	5	1	3.9	2	122	"for hours of video games played, he made a note that he plays 1 hr a week on average, sometimes 10, but usually 0"	20	17	19	10	400	0	3	27	"other"
133	1	"Jacob"	0	0	NA	7	7	5	6	6	6	4	7	1	7	7	7	5	4	7	7	7	"1000.000000"	1	1	1	1	1	5	4	20	40	60	10	15	1	"mosseberg 835 pump action 12g shotgun, .243 savage deer hunting rifle, .22 pistol"	1	2	3	1	19	5	1	3.91	3	162	"smells like cigarettes"	29	20	30	21	1000	0	2	12	"other"
134	3	"Candice"	0	1	NA	4	4	6	6	5	5	4	6	3	5	3	3	4	6	6	3	2	"blank"	1	1	3	3	3	6	5	5	3	5	2	15	0	NA	1	2.5	3	1	19	5	1	3.5	0	282	NA	25	18	21	11	NA	1	2	20	"other"
135	2	"Candice"	1	0	NA	7	5	1	5	1	1	1	7	3	4	2	2	2	7	1	1	1	"300.000000"	3	3	7	7	7	4	1	10	75	5	20	10	0	NA	0	0	1	0	18	2	1	3.75	3	37	NA	17	14	17	3	300	0	6	26	"other"
136	4	"Candice"	1	1	NA	7	7	5	7	6	6	6	7	7	4	6	6	7	7	5	4	2	"2000.000000"	1	1	1	1	5	7	5	15	40	65	25	8	1	"12g pump shotgun, reminton sniper rifle"	1	6	2	1	18	5	1	3.8	1	278	NA	31	27	30	11	2000	0	2	19	"other"
137	4	"Jacob"	1	1	NA	6	6	5	7	7	6	4	7	6	6	4	5	6	7	7	5	6	"2000.000000"	2	3	1	1	1	6	3	35	15	60	7.5	30	1	".38 special revolver and another firearm"	1	0	4	1	19	5	2	3.2	1	430	"20 minutes late. He wrote in that he \"kinda\" owns a firearm. It used to be his fathers and got passed down to him when he passed away. For magazine size he put 8. For race he circled both five and six and wrote in Greek for other. "	29	25	28	18	2000	0	5	12	"greater"
138	2	"Jacob"	1	0	NA	5	6	3	5	4	7	2	6	3	6	3	4	5	7	5	3	2	"800.000000"	2	1	2	3	2	4	5	40	60	25	50	12	1	".38 smith and weston pistol, 12g pumpaction winchester shotgun, .22 rifle savage bolt action with 3x10 bushnell scope, .306 rifle semi-automatic remington with 3x15 scope"	1	2	2	1	18	5	1	3.5	2	158	NA	20	21	25	10	800	0	3	16	"other"
139	3	"Jacob"	0	1	NA	4	6	2	4	4	2	2	5	4	5	3	1	1	1	3	2	2	"2.000000"	2	2	6	3	6	5	4	10	25	15	5	10	0	NA	0	0	1	0	19	2	1	3.1	1	91	NA	17	16	11	7	2	0	4	24	"other"
140	1	"Mallorie"	0	0	NA	7	6	6	7	3	4	5	7	4	7	5	6	5	7	7	5	5	"400.000000"	4	1	4	3	2	6	4	25	20	20	15	17.5	1	"basic rifle"	0	0	1	1	20	5	2	2.3	3	170	"played for 16 minutes"	28	21	30	17	400	0	5	19	"other"
141	1	"Mallorie"	0	0	NA	6	4	3	4	4	3	4	7	6	4	3	4	5	4	7	4	3	"250.000000"	1	1	4	3	6	3	4	85	70	45	20	20	0	NA	1	1	1	1	18	2	1	3.8	2	150	"showed up 15 minutes late"	24	17	20	14	250	0	2	20	"other"
142	3	"Mallorie"	0	1	NA	7	4	7	4	4	2	7	7	2	7	1	4	6	6	7	2	1	"100.000000"	1	1	4	4	5	3	1	10	2	1	1	15	0	NA	1	7	2	1	18	5	1	3.77	2	336	NA	32	12	24	10	100	0	2	17	"other"
143	4	"Mallorie"	1	1	NA	5	1	4	4	2	1	4	6	1	1	1	1	1	7	1	1	1	"blank"	1	1	7	7	7	2	1	15	50	5	15	20	0	NA	0	0	1	0	19	5	1	3	6	161	NA	21	7	11	3	NA	1	2	24	"other"
144	2	"Jacob"	1	0	NA	5	4	2	2	1	1	4	4	3	2	4	1	3	5	4	1	1	"blank"	1	1	7	3	6	1	1	40	20	40	25	6	0	NA	1	12.5	1	0	19	2	1	4	6	157	NA	16	10	15	6	NA	1	2	18	"other"
145	2	"Jacob"	1	0	NA	3	3	1	1	4	1	1	5	2	1	1	2	NA	7	3	1	1	"1.000000"	1	1	2	1	1	1	1	35	10	25	10	15	0	NA	1	2	5	1	19	5	1	2.9	5	153	"put 1 & 3 for response to AR_3 and nothing for AR_4"	14	7	NA	5	1	0	2	6	"other"
146	3	"Jacob"	0	1	NA	4	1	3	2	3	3	3	6	1	1	1	1	1	1	1	1	1	"1.000000"	1	1	7	6	6	2	1	60	35	10	10	20	0	NA	0	0	1	1	19	5	2	2.4	5	201	NA	19	7	5	3	1	0	2	22	"other"
147	1	"Jacob"	0	0	NA	5	2	7	5	6	4	4	7	5	6	4	6	6	6	7	4	5	"1500.000000"	3	2	4	3	4	5	1	50	10	20	15	30	0	NA	1	5	3	1	19	5	1	3.4	0	205	NA	29	16	28	16	1500	0	5	17	"greater"
148	4	"Jacob"	1	1	NA	7	7	6	7	5	7	2	7	7	7	7	5	6	7	7	7	7	"1200.000000"	5	5	1	1	1	7	7	5	2	15	2	30	1	"mossberg 500, ar-15, glock .45, .270"	1	1	2	1	19	5	1	2.9	0	302	"\"as many as people want\" for magazine size"	27	28	32	21	1200	0	10	17	"greater"
149	4	"Mallorie"	1	1	NA	5	3	4	4	4	3	3	6	4	3	3	4	5	5	3	1	1	"blank"	3	2	5	5	6	2	1	5	5	2	0	8	0	NA	1	4	1	1	20	5	1	3.2	1	359	NA	22	14	20	5	NA	1	5	19	"other"
150	2	"Mallorie"	1	0	NA	7	4	4	4	2	2	4	7	3	2	4	4	5	6	4	1	1	"blank"	1	1	6	7	7	4	1	75	80	35	25	5	0	NA	1	8	1	0	18	2	1	2.7	1	73	NA	24	13	21	6	NA	1	2	25	"other"
151	1	"Mallorie"	0	0	NA	5	5	4	4	5	2	4	6	2	2	2	5	4	6	4	2	2	"500.000000"	5	4	5	4	4	4	2	12	30	6	1	10	0	NA	0	0	2	0	19	5	1	3.5	2	98	NA	24	13	19	8	500	0	9	19	"other"
152	3	"Trina"	0	1	NA	5	3	5	6	6	3	3	7	4	6	2	5	7	7	7	3	3	"200.000000"	5	2	5	2	2	5	2	2	4	1	1	12	0	NA	1	2	1	1	18	5	1	2.6	0	336	NA	26	16	27	13	200	0	7	16	"other"
153	2	"Trina"	1	0	NA	5	4	4	4	5	3	5	7	2	2	4	6	4	7	2	1	1	"20.000000"	2	1	2	3	5	5	6	30	7.5	30	30	NA	0	NA	0	0	2	0	19	5	1	3.75	7	153	"\"?\" as answer for # of bullets in magazine"	26	13	23	4	20	0	3	21	NA
154	3	"Trina"	0	1	NA	7	6	7	7	5	4	4	7	5	6	5	7	5	7	6	5	4	"1000.000000"	2	2	2	1	3	2	2	10	4	8	2	17.5	0	NA	1	2.5	4	1	19	5	1	3.9	0	291	NA	30	22	30	15	1000	0	4	10	"other"
155	4	"Mallorie"	1	1	NA	7	3	7	5	7	1	6	6	2	3	1	4	7	7	3	1	1	"blank"	1	1	7	7	7	4	2	15	3	1	2	10	0	NA	1	9	1	1	19	5	1	3.88	0	352	"found me after he completed the first level (about 1min into gameplay) he thought he had beat the game. I showed him how to continue and he finished the 15 mins"	33	11	22	5	NA	1	2	27	"other"
156	1	"Jacob"	0	0	NA	6	6	7	7	7	3	4	7	5	7	6	6	7	5	7	6	4	"450.000000"	5	2	2	4	4	5	1	5	4	15	15	30	1	"springfield 12g shotgun, mossburg 410 shotgun, remington .270 deer rifle, remington 40 pistol"	1	5	3	1	19	5	1	3	1	176	"no limit for magazine size"	31	21	31	17	450	0	7	16	"greater"
157	4	"Jacob"	1	1	NA	6	2	1	2	2	2	2	6	3	1	1	1	5	5	1	1	1	"blank"	1	1	7	4	7	1	1	80	50	10	30	10	0	NA	0	0	3	0	21	6	3	3.7	6	257	"race-Arab"	17	9	13	3	NA	1	2	20	"other"
158	1	"Mallorie"	0	0	NA	6	6	6	6	4	5	4	6	3	6	4	6	5	7	6	3	2	"200.000000"	1	1	3	2	2	3	2	10	5	17.5	5	20	1	"2 automatic rifles, 2 pistols, 2 historic nazi lugars, 2 old WW2 rifles"	0	0	2	1	19	5	1	3.85	6	154	"father owns the guns listed. His father is a small collector of guns."	26	20	28	11	200	0	2	12	"other"
159	2	"Candice"	1	0	NA	5	5	7	7	7	4	7	7	5	6	2	4	6	6	7	3	2	"500.000000"	3	1	1	4	1	6	7	5	2	2	7	14	0	NA	1	1.5	2	1	20	5	2	2.7	6	154	NA	33	21	24	12	500	0	4	19	"other"
160	3	"Candice"	0	1	NA	7	4	6	6	6	6	5	7	7	5	2	6	7	7	6	2	1	"1200.000000"	5	1	3	6	4	6	1	60	50	10	15	9	0	NA	1	7.5	1	1	19	5	1	3.6	0	290	NA	31	23	27	9	1200	0	6	20	"other"
161	4	"Candice"	1	1	NA	7	4	5	4	3	3	4	7	3	1	1	5	2	6	1	1	1	"blank"	1	1	5	4	3	3	1	20	25	30	5	10	0	NA	0	0	4	1	19	5	2	3	5	190	NA	26	14	15	3	NA	1	2	16	"other"
162	1	"Jacob"	0	0	NA	7	3	4	4	6	1	5	6	1	4	2	4	6	6	6	2	1	"200.000000"	1	1	4	3	5	2	2	10	10	20	5	10	0	NA	1	0	5	1	18	5	1	3	1	156	"for hours of video games played he made a note that he doesn't have time to play anymore but he has 35 days logged on Call of Duty 4. He used to play every day. "	28	9	22	9	200	0	2	16	"other"
163	3	"Jacob"	0	1	NA	5	5	3	4	2	5	6	6	4	6	4	6	5	6	7	3	3	"100.000000"	2	2	5	4	5	6	6	12	22	18	2	10	0	NA	0	0	2	0	19	5	1	3.2	9	269	"couldn’t read Jacob's handwriting. not sure if second P  Value was 209 or 269"	22	18	27	13	100	0	4	26	"other"
164	2	"Mallorie"	1	0	NA	6	4	5	1	3	3	1	7	4	7	4	5	7	7	7	5	4	"2000.000000"	5	1	6	1	3	5	1	50	50	30	30	30	0	NA	1	14	1	1	18	5	1	3.77	1	149	"forgot to tell him about competition with other participants"	22	12	30	16	2000	0	6	16	"greater"
165	1	"Mallorie"	0	0	NA	5	4	6	6	7	4	3	7	6	5	4	5	6	7	7	2	3	"100.000000"	5	2	5	2	5	3	4	40	60	50	5	20	0	NA	1	100	4	1	19	5	1	3	3	117	NA	28	20	27	12	100	0	7	19	"other"
166	2	"Mallorie"	1	0	NA	7	4	3	5	2	2	1	5	2	4	2	5	3	5	5	1	1	"blank"	2	1	5	5	5	5	4	25	5	5	15	6	0	NA	1	2	1	0	21	5	3	2.6	2	121	"task bar showing during the game"	18	13	19	7	NA	1	3	24	"other"
167	4	"Jacob"	1	1	NA	7	4	6	6	7	1	4	7	1	7	4	7	4	7	7	2	1	"200.000000"	1	1	6	2	6	7	1	5	0.01	0.1	0.01	15	0	NA	1	7	3	1	19	5	1	3.7	0	402	NA	31	12	29	10	200	0	2	22	"other"
168	3	"Mallorie"	0	1	NA	7	7	7	7	7	5	5	7	7	7	7	7	7	4	7	5	7	"2000.000000"	4	1	1	1	1	7	5	40	20	5	1	30	0	NA	1	2	2	1	18	6	1	3.5	1	286	"circled both 1 and 5 for race"	33	26	32	19	2000	0	5	15	"greater"
169	3	"Mallorie"	0	1	NA	6	6	7	6	4	2	1	6	5	4	5	3	3	6	3	1	1	"100.000000"	2	1	5	6	3	4	4	1	2	80	30	6	0	NA	1	2	1	1	19	1	1	3.7	0	433	NA	24	19	21	5	100	0	3	22	"other"
170	2	"Mallorie"	1	0	NA	7	5	7	7	7	4	7	7	4	6	5	6	5	7	7	4	2	"350.000000"	4	2	6	7	7	4	6	35	55	25	25	30	0	NA	1	0.5	3	1	20	2	2	3	4	208	NA	35	20	29	13	350	0	6	30	"greater"
171	1	"Trina"	0	0	NA	4	3	7	7	6	6	4	7	7	7	1	5	7	5	7	7	7	"200.000000"	7	1	5	1	1	5	5	24	12	8	40	30	1	"long rifle .22 remington, winchester 12g shotgun"	1	7	5	1	19	6	1	3	2	215	"native hawaiian"	28	23	25	21	200	0	8	17	"greater"
172	4	"Trina"	1	1	NA	6	4	4	7	5	5	3	7	4	5	2	4	6	6	5	1	1	"100.000000"	1	1	1	2	1	5	5	10	15	5	10	30	0	NA	1	4.5	3	1	20	5	2	3.23	0	384	NA	25	20	23	7	100	0	2	14	"greater"
173	3	"Trina"	0	1	NA	7	4	6	4	4	5	5	7	3	6	2	2	6	6	7	4	2	"2400.000000"	3	1	5	4	3	2	4	5	10	20	5	10	1	"mossberg .22 AR style rifle"	1	4.5	1	1	19	5	1	3.9	1	309	NA	29	16	22	13	2400	0	4	18	"other"
174	2	"Jacob"	1	0	NA	5	5	5	5	3	1	4	6	6	7	6	3	7	6	7	4	2	"400.000000"	3	1	3	1	3	3	3	7	10	5	2	30	1	".22 rifle"	0	0	2	1	21	5	3	3.1	4	157	"took off headphones while playing"	23	17	29	13	400	0	4	13	"greater"
175	4	"Jacob"	1	1	NA	5	6	6	6	5	6	5	6	7	6	4	6	5	5	5	4	4	"2000.000000"	4	1	2	1	1	5	3	5	10	20	2	20	0	NA	1	2.5	4	1	18	3	1	3	4	354	NA	27	25	26	13	2000	0	5	12	"other"
176	1	"Trina"	0	0	NA	5	1	6	2	6	1	4	7	2	6	1	7	7	7	7	4	2	"50.000000"	2	1	7	7	7	7	1	20	30	0.2	0	6	0	NA	1	7.5	5	1	21	5	3	3.3	1	189	"forgot to load game before bringing participant into room-saw me load game----next to political orientation, participant wrote that they have their own opinions and they do not conform to the opinions of parties because it's stupid. "	28	6	28	13	50	0	3	29	"other"
